Year,Author(s),Hugo,Novelette,Publisher or publication,Nika,Tom,Tom Date Read,Tom Rating,Tom Shelf
2026,Scott Lynch,Nominee,Kaiju Agonistes,Reactor,,,,,
2026,H.H. Pak,Nominee,Never Eaten Vegetables,Clarkesworld,,,,,
2026,Martha Wells,Nominee,"Rapport: Friendship, Solidarity, Communion, Empathy",Reactor,,,,,
2026,Cameron Reed,Nominee,The Girl That My Mother Is Leaving Me For,Clarkesworld,,,,,
2026,Sarah Pinsker,Nominee,The Millay Illusion,Asimov's,,,,,
2026,Catherynne M. Valente,Nominee,When He Calls Your Name,Reactor,,,,,
2025,Naomi Kritzer,Winner,The Four Sisters Overlooking the Sea,Asimov's,,,,,
2025,Thomas Ha,Nominee,The Brotherhood of Montague St. Video,Clarkesworld,,,,,
2025,Premee Mohamed,Nominee,"By Salt, By Sea, By Light of Stars",The Sunday Morning Transport,,,,,
2025,Ann Leckie,Nominee,Lake of Souls,Lake of Souls (Orbit),,,,,
2025,Eugenia Triantafyllou,Nominee,Loneliness Universe,Uncanny Magazine,,,,,
2025,Sarah Pinsker,Nominee,Signs of Life,Asimov's,,,,,
2024.0,Sarah Pinsker,,One Man's Treasure,Uncanny Magazine,,,,,
2024.0,Nghi Vo,,On the Fox Roads,Tor.com,,,,,
2024.0,Naomi Kritzer,Winner,The Year Without Sunshine,Uncanny Magazine,,,,,
2024.0,Gu Shi (Chinese)/Emily Jen (translator),,"Introduction to 2181 Overture, Second Edition",Clarkesworld Magazine,,,,,
2024.0,C. L. Polk,,"Ivy, Angelica, Bay",Tor.com,,,,,
2024.0,Ai Jiang,,I AM AI,Shortwave Publishing,,,,,
2023.0,Wole Talabi,,A Dream of Electric Mothers,Africa Risen: A New Era of Speculative Fiction (Tordotcom),,,,,
2023.0,S. L. Huang,,Murder By Pixel: Crime and Responsibility in the Digital Darkness,Clarkesworld Magazine,,,,,
2023.0,Marie Vibbert,,We Built This City,Clarkesworld Magazine,,,,,
2023.0,John Chu,,"If You Find Yourself Speaking to God, Address God with the Informal You",Uncanny Magazine,,,,,
2023.0,Hai Ya,Winner,The Space-Time Painter,Galaxy's Edge,,,,,
2023.0,Catherynne M. Valente,,The Difference Between Love and Time,Someone in Time: Tales of Time-Crossed Romance (Solaris Books),,,,,
2022.0,Suzanne Palmer,Winner,Bots of the Lost Ark,Clarkesworld Magazine,,,,,
2022.0,Oghenechovwe Donald Ekpeki,,O2 Arena,Galaxy's Edge,,,,,
2022.0,John Wiswell,,That Story Isn't the Story,Uncanny Magazine,,,,,
2022.0,Fran Wilde,,"Unseelie Brothers, Ltd.",Uncanny Magazine,,,,,
2022.0,Catherynne M. Valente,,L'Esprit de L'Escalier,Tor.com,,,,,
2022.0,Caroline M. Yoachim,,Colors of the Immortal Palette,Uncanny Magazine,,,,,
2021.0,Sarah Pinsker,Winner,Two Truths and a Lie,Tor.com,,,,,
2021.0,Naomi Kritzer,,Monster,Clarkesworld Magazine,,,,,
2021.0,Meg Elison,,The Pill,Big Girl (PM Press),,,,,
2021.0,Isabel Fall,,Helicopter Story,Clarkesworld Magazine,,,,,
2021.0,Aliette de Bodard,,The Inaccessibility of Heaven,Uncanny Magazine,,,,,
2021.0,A. T. Greenblatt,,"Burn, or the Episodic Life of Sam Wells as a Super",Uncanny Magazine,,,,,
2020.0,Ted Chiang,,Omphalos,Exhalation: Stories (Alfred A. Knopf),,,,,
2020.0,Siobhan Carroll,,For He Can Creep,Tor.com,,,,,
2020.0,Sarah Pinsker,,The Blur in the Corner of Your Eye,Uncanny Magazine,,,,,
2020.0,Sarah Gailey,,Away With the Wolves,Uncanny Magazine,,,,,
2020.0,N. K. Jemisin,Winner,Emergency Skin,Amazon.com,In the queue,,,,
2020.0,Caroline M. Yoachim,,The Archronology of Love,Lightspeed Magazine,,,,,
2019.0,Zen Cho,Winner,"If at First You Don't Succeed, Try, Try Again",B&N Sci-Fi and Fantasy Blog,,,,,
2019.0,Tina Connolly,,The Last Banquet of Temporal Confections,Tor.com,,,,,
2019.0,Simone Heller,,When We Were Starless,Clarkesworld Magazine,,,,,
2019.0,Naomi Kritzer,,The Thing About Ghost Stories,Uncanny Magazine,,,,,
2019.0,Daryl Gregory,,Nine Last Days on Planet Earth,Tor.com,,,,,
2019.0,Brooke Bolander,,The Only Harmless Great Thing,Tor.com Publishing,,,,,
2018.0,Yoon Ha Lee,,Extracurricular Activities,Tor.com,,,,,
2018.0,Vina Jie-Min Prasad,,A Series of Steaks,Clarkesworld Magazine,,,,,
2018.0,Suzanne Palmer,Winner,The Secret Life of Bots,Clarkesworld Magazine,,,,,
2018.0,Sarah Pinsker,,Wind Will Rove,Asimov's Science Fiction,,,,,
2018.0,K. M. Szpara,,Small Changes Over Long Periods of Time,Uncanny Magazine,,,,,
2018.0,Aliette de Bodard,,"Children of Thorns, Children of Water",Uncanny Magazine,,,,,
2017.0,Ursula Vernon,Winner,The Tomato Thief,Apex Magazine,,,,,
2017.0,Stix Hiscock,,Alien Stripper Boned from Behind by the T-Rex,Self-published,,,,,
2017.0,Nina Allan,,The Art of Space Travel,Tor.com,,,,,
2017.0,Fran Wilde,,The Jewel and Her Lapidary,Tor.com,,,,,
2017.0,Carolyn Ives Gilman,,Touring with the Alien,Clarkesworld Magazine,,,,,
2017.0,Alyssa Wong,,You'll Surely Drown Here If You Stay,Uncanny Magazine,,,,,
2016.0,Stephen King,,Obits,The Bazaar of Bad Dreams (Charles Scribner's Sons),,,,,
2016.0,Hao Jingfang,Winner,Folding Beijing,Uncanny Magazine,,,,,
2016.0,David VanDyke,,What Price Humanity?,There Will Be War Volume X (Castalia House),,,,,
2016.0,Cheah Kai Wai,,Flashpoint: Titan,There Will Be War Volume X (Castalia House),,,,,
2016.0,Brooke Bolander,,And You Shall Know Her by the Trail of Dead,Lightspeed,,,,,
