Year,Author(s),Hugo,Novel,Publisher,Nika,Tom
2026,Annalee Newitz,Nominee,Automatic Noodle,Tordotcom,,
2026,Freya Marske,Nominee,Cinder House,Tordotcom,,
2026,Olivia Waite,Nominee,Murder by Memory,Tordotcom,,
2026,Amal El-Mohtar,Nominee,The River Has Roots,Tordotcom,,
2026,Naomi Novik,Nominee,The Summer War,Tordotcom,,
2026,Ursula Vernon (as T. Kingfisher),Nominee,What Stalks the Deep,Tor Books,,
2025,Ray Nayler,Winner,The Tusks of Extinction,Tordotcom,,
2025,Nghi Vo,Nominee,The Brides of High Hill,Tordotcom,,
2025,Premee Mohamed,Nominee,The Butcher of the Forest,Tordotcom,,
2025,Aliette de Bodard,Nominee,Navigational Entanglements,Tordotcom,,
2025,Sofia Samatar,Nominee,"The Practice, the Horizon, and the Chain",Tordotcom,,
2025,Ursula Vernon (as T. Kingfisher),Nominee,What Feasts at Night,Tor Nightfire,,
