Year,Author(s),Hugo,Novel,Publisher,Nika,Tom,Tom Date Read,Tom Rating,Tom Shelf,Series,Nika Shelf,Westdac,Westdac Date Read,Westdac Rating,Westdac Shelf
2026,Annalee Newitz,Nominee,Automatic Noodle,Tordotcom,,,,,,,,,,,
2026,Freya Marske,Nominee,Cinder House,Tordotcom,,,,,,,,,,,
2026,Olivia Waite,Nominee,Murder by Memory,Tordotcom,,,,,,,,,,,
2026,Amal El-Mohtar,Nominee,The River Has Roots,Tordotcom,,,,,,,,,,,
2026,Naomi Novik,Nominee,The Summer War,Tordotcom,,,,,,,,,,,
2026,Ursula Vernon (as T. Kingfisher),Nominee,What Stalks the Deep,Tor Books,,,,,,,,,,,
2025,Ray Nayler,Winner,The Tusks of Extinction,Tordotcom,,,,,,,,,,,
2025,Nghi Vo,Nominee,The Brides of High Hill,Tordotcom,,,,,,,,,,,
2025,Premee Mohamed,Nominee,The Butcher of the Forest,Tordotcom,,,,,,,,,,,
2025,Aliette de Bodard,Nominee,Navigational Entanglements,Tordotcom,,,,,,,,,,,
2025,Sofia Samatar,Nominee,"The Practice, the Horizon, and the Chain",Tordotcom,,,,,,,,,,,
2025,Ursula Vernon (as T. Kingfisher),Nominee,What Feasts at Night,Tor Nightfire,,,,,,,,,,,
2024.0,Ursula Vernon (as T. Kingfisher),Winner,Thornhedge,Tor Books/Titan Books,,,,,,,,,,,
2024.0,He Xi (Chinese),,Life Does Not Allow Us to Meet,Adventures in Space: New Short stories by Chinese & English Science Fiction Writers (Flame Tree Press),,,,,,,,,,,
2024.0,Nghi Vo,,Mammoths at the Gates,Tordotcom,,,,,,,,,,,
2024.0,Malka Older,,The Mimicking of Known Successes,Tordotcom,In the queue,,,,,,,,,,
2024.0,Arkady Martine,,Rose/House,Subterranean Press,,,,,,,,,,,
2024.0,Wang Jinkang (Chinese),,Seeds of Mercury,Adventures in Space: New Short stories by Chinese & English Science Fiction Writers (Flame Tree Press),,,,,,,,,,,
2023.0,Seanan McGuire,Winner,Where the Drowned Girls Go,Tordotcom,,,,,,,,,,,
2023.0,C. L. Polk,,Even Though I Knew the End,Tordotcom,In the queue,,,,,,,,,,
2023.0,Nghi Vo,,Into the Riverlands,Tordotcom,,,,,,,,,,,
2023.0,Alix E. Harrow,,A Mirror Mended,Tordotcom,,,,,,,,,,,
2023.0,Adrian Tchaikovsky,,Ogres,Solaris Books,,,,,,,,,,,
2023.0,Ursula Vernon (as T. Kingfisher),,What Moves the Dead,Tor Nightfire,,,,,,,,,,,
2022.0,Becky Chambers,Winner,A Psalm for the Wild-Built,Tordotcom,,In the queue,,,to-read,"Monk & Robot, #1",,Read,,,
2022.0,Seanan McGuire,,Across the Green Grass Fields,Tordotcom,,,,,,,,,,,
2022.0,Adrian Tchaikovsky,,Elder Race,Tordotcom,,,,,,,,,,,
2022.0,Aliette de Bodard,,Fireheart Tiger,Tordotcom,,,,,,,,,,,
2022.0,Catherynne M. Valente,,The Past Is Red,Tordotcom,,,,,,,,,,,
2022.0,Alix E. Harrow,,A Spindle Splintered,Tordotcom,,,,,,,,,,,
2021.0,Nghi Vo,Winner,The Empress of Salt and Fortune,Tor.com Publishing,,,,,,,,,,,
2021.0,Nino Cipri,,Finna,Tor.com Publishing,,,,,,,,,,,
2021.0,P. Djèlí Clark,,Ring Shout,Tor.com Publishing,,,,,,,,,,,
2021.0,Seanan McGuire,,Come Tumbling Down,Tor.com Publishing,,,,,,,,,,,
2021.0,Tochi Onyebuchi,,Riot Baby,Tor.com Publishing,,,,,,,,,,,
2021.0,Sarah Gailey,,Upright Women Wanted,Tor.com Publishing,,,,,,,,,,,
2020.0,Amal El-Mohtar/Max Gladstone,Winner,This Is How You Lose the Time War,Saga Press,Read,Read,2023-06-07,,,,,Read,,,
2020.0,Ted Chiang,,Anxiety Is the Dizziness of Freedom,Exhalation: Stories,,,,,,,,,,,
2020.0,Rivers Solomon/Daveed Diggs/William Hutson/Jonathan Snipes,,The Deep,Saga Press,,,,,,,,,,,
2020.0,P. Djèlí Clark,,The Haunting of Tram Car 015,Tor.com Publishing,,,,,,,,,,,
2020.0,Seanan McGuire,,In an Absent Dream,Tor.com Publishing,,,,,,,,,,,
2020.0,Becky Chambers,,"To Be Taught, if Fortunate",Harper Voyager,,,,,,,,Read,,,
2019.0,Martha Wells,Winner,Artificial Condition,Tor.com Publishing,,Read,2023-05-27,,,"The Murderbot Diaries, #2",,,,,
2019.0,Seanan McGuire,,Beneath the Sugar Sky,Tor.com Publishing,,,,,,,,,,,
2019.0,Nnedi Okorafor,,Binti: The Night Masquerade,Tor.com Publishing,,,,,,,,,,,
2019.0,P. Djèlí Clark,,The Black God's Drums,Tor.com Publishing,,,,,,,,,,,
2019.0,Kelly Robson,,"Gods, Monsters, and the Lucky Peach",Tor.com Publishing,,,,,,,,,,,
2019.0,Aliette de Bodard,,The Tea Master and the Detective,Subterranean Press / JABberwocky Literary Agency,,,,,,,,,,,
2018.0,Martha Wells,Winner,All Systems Red,Tor.com Publishing,Read,Read,2023-05-26,,,"The Murderbot Diaries, #1",,Read,,liked it,
2018.0,Sarah Pinsker,,And Then There Were (N-One),Uncanny Magazine,,,,,,,,,,,
2018.0,Nnedi Okorafor,,Binti: Home,Tor.com Publishing,,,,,,,,,,,
2018.0,JY Yang,,The Black Tides of Heaven,Tor.com Publishing,,,,,,,,,,,
2018.0,Seanan McGuire,,Down Among the Sticks and Bones,Tor.com Publishing,,,,,,,,,,,
2018.0,Sarah Gailey,,River of Teeth,Tor.com Publishing,,,,,,,,,,,
2017.0,Seanan McGuire,Winner,Every Heart a Doorway,Tor.com Publishing,,,,,,,,,,,
2017.0,Victor LaValle,,The Ballad of Black Tom,Tor.com Publishing,,,,,,,,,,,
2017.0,Kij Johnson,,The Dream-Quest of Vellitt Boe,Tor.com Publishing,,,,,,,,,,,
2017.0,Lois McMaster Bujold,,Penric and the Shaman,Spectrum Literary Agency,,,,,,,,,,,
2017.0,Kai Ashante Wilson,,A Taste of Honey,Tor.com Publishing,,,,,,,,,,,
2017.0,China Miéville,,This Census-Taker,Del Rey Books / Picador,,,,,,,,,,,
2016.0,Nnedi Okorafor,Winner,Binti,Tor.com,,,,,,,,,,,
2016.0,Daniel Polansky,,The Builders,Tor.com,,,,,,,,,,,
2016.0,Lois McMaster Bujold,,Penric's Demon,Spectrum Literary Agency,,,,,,,,,,,
2016.0,Brandon Sanderson,,Perfect State,Dragonsteel Entertainment,,Read,,,,,,,,,
2016.0,Alastair Reynolds,,Slow Bullets,Tachyon Publications,,,,,,,,,,,
2015.0,"Arlan Andrews, Sr.",,Flow,Analog Science Fiction and Fact,,,,,,,,,,,
2015.0,Tom Kratman,,Big Boys Don't Cry,Castalia House,,,,,,,,,,,
2015.0,John C. Wright,,One Bright Star to Guide Them,Castalia House,,,,,,,,,,,
2015.0,John C. Wright,,Pale Realms of Shade,The Book of Feasts & Seasons (Castalia House),,,,,,,,,,,
2015.0,John C. Wright,,The Plural of Helen of Troy,City Beyond Time: Tales of the Fall of Metachronopolis (Castalia House),,,,,,,,,,,
2014.0,Charles Stross,Winner,Equoid,Tor.com,,,,,,,,,,,
2014.0,Dan Wells,,The Butcher of Khardov,Privateer Press,,,,,,,,,,,
2014.0,Brad R. Torgersen,,The Chaplain's Legacy,Analog Science Fiction and Fact,,,,,,,,,,,
2014.0,Catherynne M. Valente,,Six-Gun Snow White,Subterranean Press,,,,,,,,,,,
2014.0,Andy Duncan/Ellen Klages,,Wakulla Springs,Tor.com,,,,,,,,,,,
2013.0,Brandon Sanderson,Winner,The Emperor's Soul,Tachyon Publications,In the queue,Read,,,,,,,,,
2013.0,Nancy Kress,,"After the Fall, Before the Fall, During the Fall",Tachyon Publications,,,,,,,,,,,
2013.0,Aliette de Bodard,,"On a Red Station, Drifting",Immersion Press,,,,,,,,,,,
