Year,Author,Title,Publisher,Award,Already in list?
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
1975.0,Poul Anderson,A Midsummer Tempest,Doubleday,Winner,A Midsummer Tempest
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
1982.0,John Crowley,"Little, Big",Bantam Books,Winner,"Little, Big"
,,,,,#N/A
,,,,,#N/A
1982.0,Julian May,The Many-Colored Land,Houghton Mifflin,Nominee,The Many-Colored Land
,,,,,#N/A
1982.0,Gene Wolfe,The Claw of the Conciliator,Timescape Books,Nominee,The Claw of the Conciliator
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
1988.0,Orson Scott Card,Seventh Son,Tor Books,Winner,Seventh Son
,,,,,#N/A
1988.0,Pat Murphy,The Falling Woman,Tor Books,Nominee,The Falling Woman
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
1989.0,Orson Scott Card,Red Prophet,Tor Books,Nominee,Red Prophet
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
1990.0,Orson Scott Card,Prentice Alvin,Tor Books,Nominee,Prentice Alvin
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
1991.0,James Morrow,Only Begotten Daughter,William Morrow & Co,Nominee,Only Begotten Daughter
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
1993.0,Jane Yolen,Briar Rose,Tor Books,Winner,Briar Rose
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
1993.0,Connie Willis,Doomsday Book,Bantam Spectra,Nominee,Doomsday Book
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
1995.0,Rachel Pollack,Temporary Agency,St. Martin's Press,Nominee,Temporary Agency
,,,,,#N/A
1996.0,Michael Bishop,Brittle Innings,Bantam Books,Nominee,Brittle Innings
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
1997.0,Patricia A. McKillip,Winter Rose,Ace Books,Nominee,Winter Rose
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
2001.0,Charles de Lint,Forests of the Heart,Tor Books,Nominee,Forests of the Heart
,,,,,#N/A
2002.0,Lois McMaster Bujold,The Curse of Chalion,Eos,Winner,The Curse of Chalion
2002.0,Neil Gaiman,American Gods,William Morrow,Nominee,American Gods
,,,,,#N/A
2002.0,Ursula K. Le Guin,The Other Wind,Harcourt Brace & Company,Nominee,The Other Wind
2002.0,Tim Powers,Declare,HarperCollins,Nominee,Declare
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
2004.0,Lois McMaster Bujold,Paladin of Souls,Eos,Nominee,Paladin of Souls
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
2005.0,Susanna Clarke,Jonathan Strange & Mr Norrell,Bloomsbury,Winner,Jonathan Strange & Mr Norrell
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
